Number,Name,Type,Color,Top Text,Bottom Text,Space Name,In Unity
1,,,,,,,No
2,,,,,,,No
3,,,,,,,No
4,,,,,,,No
5,,,,,,,No
6,,,,,,,No
7,,,,,,,No
8,,,,,,,No
9,,,,,,,No
10,,,,,,,No
11,,,,,,,No
12,,,,,,,No
13,,,,,,,No
14,,,,,,,No
15,,,,,,,No
16,,,,,,,No
17,,,,,,,No
18,,,,,,,No
19,,,,,,,No
20,,,,,,,No
21,,,,,,,No
22,,,,,,,No
23,,,,,,,No
24,,,,,,,No
25,,,,,,,No
26,,,,,,,No
27,,,,,,,No
28,,,,,,,No
29,,,,,,,No
30,Ritual Attack,Combat,Red,"Throw away another action card. Depending on its color, you get: Attack 5 for red, Ice Attack 3 for blue, Ranged Attack 3 for white, Siege Attack 2 for green",,,No
31,,,,,,,No
32,,,,,,,No
33,Temporal Portal,Action,Blue,"Play as your action for this turn. You may move to an adjacent revealed safe space (without provoking rampaging aliens). Whether you move or not, your hand limit is higher by 1 the next time you draw cards.","As above, except you can either move two spaces to a revealed safe space instead of one, or get your Hand limit increased by 2 instead of 1.",Spacetime Bender,No
34,,,,,,,No
35,,,,,,,No
36,,,,,,,No
37,,,,,,,No
38,,,,,,,No
39,,,,,,,No
40,,,,,,,No
41,,,,,,,No
42,,,,,,,No
43,,,,,,,No
44,,,,,,,No
45,,,,,,,No
46,,,,,,,No
